This document contains the Requirements sent by DTP for evaluation. It also contains some comments/questions by our team members which will give you a context of the application,,,,,,,,,,,,,
Dimension,Feature,Feature Description,PDF Page,Scenario,Scenario Name,Scenario Description,Initial Size Estimate,Category,Potential GIS Support,Jemille Comments,Cody Comments,Fred Comments,Feroze Comments
Consistency,2,"Consistency of Road Geometry in DTP-OSM
Ensure that the geometry of all Priority roads* in DTP-OSM is consistent with the current OSM dataset.",10,5.1.2.1,Verify road segment geometries,"Given the DTP-OSM dataset of Priority road* segments
And the OSM dataset as a reference
When the geometry of each DTP-OSM road segment is compared to OSM
Then at least 98% of Priority road* segments must have geometries consistent with OSM
And consistent geometry is defined as segment vertices representing roads will be within 0.01m of the OSM feature geometry.
*Note: Additional nodes created from segmentation should be excluded from this analysis.",S,Requires Clarification,,"JJ: This is aligned to the intent of MM current state. Need to clarify how DTP want to segment the network, as there is breakdown of OSM ways to align to VicMap segments built into the DTP OSM Network. What if an OSM way does not break at an intersection?","The only way I can see this metric being calculated is via node coordinate comparison between DTP and OSM networks. If 98% of nodes coordinates from OSM are present in DTP (within 0.01 m) then this would be met. However, I do not see how this metric is possible if comparing DTP features to OSM features, since DTP features are commonly different to OSM due to VicMap features alignment differences.
I'm also unsure where in the process they intend this to go, i.e., is it a whole-network analysis after each update, or only on the features which have been updated in that changeset? Or is this an entirely separate process to running updates, kind of like a data quality review process.",,
,,,,5.1.2.2,Reporting of geometry consistency,"Given the geometry comparison has been completed
When the vendor delivers the DTP-OSM dataset
Then a report must be provided showing:
• Total number of Priority road* segments
• Number and percentage of segments with geometries consistent with OSM
• Any segments with inconsistent geometry, with potential reasons
• The report must be delivered within 24 hours in a structured, machine-readable format, and must include DTP-OSM unique feature IDs, OSM unique feature IDs, and, where applicable, Vicmap feature IDs.",M,Requires Clarification,,JJ: REPORTING To date there has not been a specific reporting requirement for MM.  A delta report was created in the back end and made available to assist with troubleshooting. The repeated reporting requests throughout this document suggest that a reporting tool should be incorporated into the MM UI to help them use and navigate to areas that need their attention in MM. These could then be both scheduled at key stages of the process and also 'self serve' as required.,"As above, I do not know how point two is possible given differences in feature geometry due to VMT. Three could potentially be possible through automation, but it depends on what DTP intend by ""with potential reasons"" (whether they mean in-depth manual anaylsis, or automated messages generated in the matching process stating which 'rule' the feature didn't meet to be 'consistent', whatever that means as per above).",,
,,,,5.1.2.3,Handle geometry inconsistencies,"Given geometry consistency is below 98%
When the report is reviewed
Then the vendor must identify segments with inconsistent geometries
And provide a brief explanation for the cause
And propose corrective actions for review by DTP’s geospatial team
Note: Priority road* is defined in Appendix 1",M,New Scope,,"JJ: METRICS This will be difficult and expensive. Especially when using open source data like OSM. If reporting is available in the UI, along with the underlying data sets, this will be easier for the user to look into in MM.","As above, this sounds like they mean manual review which is not feasible without dedicated support team.",,
,3,"Verification of Road Name Attributes in DTP-OSM
Ensure that DTP-OSM includes road name attributes for all Priority road* from the current Vicmap dataset, with at least 99%
coverage.",10,5.1.3.1,Verify inclusion of road name attributes,"Given the current Vicmap dataset of Priority road* segments
And the DTP-OSM dataset generated from it
When the road name attributes in DTP-OSM are reviewed
Then at least 99% of unique road names in Vicmap must be present in DTP-OSM",S,New Scope,,"JJ: We will need to determine clear business rules with DTP. We could adjust the algorithm to also look to adjacent features, to see if a nearby road name fits. Could look at 'poorer' matches. Could also revert to the OSM road name if a suitable VicMap road name cannot be confidently determined. The 99% metric is a new requirement.","This sounds like a one-time processing of the network assigning all VMT name attributes to the closest match DTP feature. We'd also need to ensure the update logic doesn't impact this metric on future source updates, but overall this seems like DTP are asking for a once-off 'repair' of the network to ensure VMT names are present.",,
,,,,5.1.3.2,Reporting of road name coverage,"Given the review of road name attributes has been completed
When the vendor delivers the DTP-OSM dataset
Then a report must be provided showing:
• Total number of unique road names in Vicmap
• Number and percentage of road names represented in DTP-OSM
• Any missing road names, with potential reasons
• The report must be delivered within 24 hours in a structured, machine-readable format, and must include DTP-OSM unique feature IDs, OSM unique feature IDs, and, where applicable, Vicmap feature IDs.
Note: Priority road* is defined in Appendix 1",M,New Scope,,JJ: Refer to reporting comment above.,"Most of these are easy enough to do, but the ""potential reasons"" is again tricky depending on the level of specificity DTP is loking for. Simple ""Name from VMT missing in DTP due to no geomtery within 100 m"" or something like that, but that really depends on the process we decide on for assigning names (e.g., we might just decide that all VMT features must align with at least one DTP feature, no matter the quality of the match, in which case this metric is no longer applicable since all VMT features are matched).",,
,4,"Comparison of Road Intersection Points with Source Datasets
Ensure that DTP-OSM correctly creates intersection points where two or more roads with different names intersect, consistent with
the source datasets.",11,5.1.4.1,Verify creation of intersection points,"Given the current Vicmap and OSM datasets containing Priority roads* segments
And the DTP-OSM dataset generated from them
When locations are analysed for intersections of two or more roads with different names
Then DTP-OSM must include an intersection point at 100% of those locations
And “unnamed” roads should not trigger this intersection creation",S,Initial Intent,,JJ: This is aligned to the intent of MM current state. Need to clarify the specific concern and see if there are examples available. We could review the current logic with them as some OSM road types were excluded from the intersection detection. The 100% metric is new scope and poorly defined.,,,
,,,,5.1.4.2,Reporting of intersection point comparison,"Given the intersection point comparison has been completed
When the vendor delivers the DTP-OSM dataset
Then a report must be provided showing:
• Any missing intersection points, with potential reasons
• The report must be delivered within 24 hours in a structured, machine-readable format, and must include DTP-OSM unique feature IDs, OSM unique feature IDs, and, where applicable, Vicmap feature IDs",XXL,New Scope,,"JJ: I'm not sure how you'd run a report (query) to cover this. If we haven't been able to identify an intersection, then it's not considered by the logic to be an intersection and is therefore not 'missing'.","I agree with Jemille, I'm not sure how it would be possible to 'find' missing intersections without manually traversing the map and looking for places where you'd expect an intersection to be but there isn't one.",,
,,,,5.1.4.3,Handle missing intersection points,"Given intersection point creation is below 100%
When the report is reviewed
Then the vendor must identify locations where intersection points are missing
And provide a brief explanation for the cause
And propose corrective actions for review by DTP’s geospatial team
Note: Priority roads* are defined in Appendix 1",XXL,New Scope,,JJ: How do you determine what 100% is? I don't think this is possible.,,,
,5,"Consistency of Custom Attributes Over Time in DTP-OSM
Ensure that custom attributes from the previous version of DTP-OSM are retained for features whose geometry has not changed.",12,5.1.5.1,Verify persistence of custom attributes,"Given the previous version of the DTP-OSM dataset
And the current version of the DTP-OSM dataset
When features are compared between versions
Then 100% of features with unchanged geometry must retain their custom attributes from the previous version",XS,Initial Intent,,JJ: This is aligned to the intent of MM current state. Need to clarify the specific concern and see if there are examples available. The 100% metric is new and would require further definition.,"This should already be the case (excepting for any bugs, in which case this is simple enough to fix by just fixing those bugs).",,
,,,,5.1.5.2,Reporting of attribute persistence,"Given the comparison between DTP-OSM versions has been completed
When the vendor delivers the updated dataset
Then a report must be provided showing:
• Total number of features with unchanged geometry
• Number and percentage of those features that retained their custom attributes
• Any features where attributes were not retained, with potential reasons
• The report must be delivered within 24 hours in a structured, machine-readable format, and must include DTP-OSM unique feature IDs, OSM unique feature IDs, and, where applicable, Vicmap feature IDs.",S,Requires Adjustment,,"JJ: Refer to reporting comment above.

Could be an adjustment to the 'Delta' report.",This should not be applicable since it should be 100% every time (in this specific case where geometry does not change).,,
